 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:20.017  LGW SVG 0.187 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:24.017  SVG KRS 0.673 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:28.017  SVG KRS 0.533 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:36.017  SVG KRS 0.705 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:40.017  SVG KRS 0.500 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:48.017  SVG KRS 0.555 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:17:52.017  SVG KRS 0.673 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:00.018  SVG KRS 0.767 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:03.018  SVG KRS 0.360 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:09.018  SVG KRS 0.688 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:11.018  SVG KRS 0.485 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:19.018  SVG KRS 0.346 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:24.018  SVG KRS 1.111 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:29.018  SVG KRS 0.328 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:34.018  SVG KRS 1.362 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:38.018  SVG KRS 0.704 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:47.018  SVG KRS 0.924 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:51.018  SVG KRS 1.237 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:18:59.018  SVG KRS 0.704 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:03.019  SVG KRS 0.862 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:09.019  SVG KRS 0.705 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:14.019  SVG KRS 0.914 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:20.019  SVG KRS 1.220 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:26.019  SVG KRS 1.549 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:31.019  SVG KRS 1.235 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:40.019  SVG KRS 0.800 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:45.019  SVG KRS 1.95 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:51.019  SVG KRS 1.80 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:19:56.019  SVG KRS 1.100 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:01.020  KRS SVG 0.861 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:05.020  KRS SVG 0.675 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:11.020  KRS SVG 0.767 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:19.020  KRS SVG 0.956 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:24.020  KRS SVG 1.253 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:26.020  ATL LJU 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:26.020  ATL LJU 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:26.020  ATL LJU 0.171 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:26.020  ATL LJU 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:37.020  KRS SVG 2.19 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:42.020  KRS SVG 1.190 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:20:51.020  KRS SVG 1.377 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:01.021  KRS SVG 1.37 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:07.021  KRS SVG 1.360 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:17.021  KRS SVG 0.924 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:27.021  KRS SVG 1.4 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:31.021  KRS SVG 1.441 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:37.021  KRS SVG 1.112 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:42.021  KRS SVG 0.846 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:21:52.021  KRS SVG 1.340 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:01.022  OSD SVG 0.219 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:05.022  BIQ SVG 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:10.022  SVG FCO 0.204 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:14.022  SVG FCO 0.236 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:18.022  SVG FCO 0.205 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:22.022  SVG FCO 0.237 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:25.022  SVG FCO 0.156 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:30.022  SVG FCO 0.282 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:32.022  LHR OUA 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:32.022  LHR OUA 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:32.022  LHR OUA 0.178 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:33.022  LHR OUA 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:36.022  SVG FCO 0.287 >
